"name","date","dem"
"ROM",1900-06-29,-7
"AUS",1867-10-15,-4
"AUS",1918-11-13,-4
"CAN",1867-06-30,4
"CAN",1888-06-29,4
"COL",1867-05-23,8
"COL",1886-08-03,8
"GMY",1867-07-08,0
"GMY",1871-01-17,0
"HUN",1867-05-28,-4
"HUN",1918-11-15,-4
"MEX",1867-05-14,-5
"MEX",1876-11-19,-5
"AUH",1867-10-15,-4
"AUH",1918-11-13,-4
"JPN",1868-01-03,1
"JPN",1945-09-01,1
"SPN",1868-09-18,0
"SPN",1871-03-14,0
"FRN",1869-09-06,-3
"FRN",1870-09-03,-3
"PAR",1869-01-01,0
"PAR",1870-11-24,0
"DEN",1870-06-30,-3
"DEN",1901-04-14,-3
"FRN",1870-09-04,0
"FRN",1877-12-12,0
"GRC",1870-06-30,9
"GRC",1880-06-29,9
"PAR",1870-11-25,-3
"PAR",1877-04-11,-3
"GMY",1871-01-18,-4
"GMY",1878-06-29,-4
"GUA",1871-06-20,0
"GUA",1873-03-28,0
"SPN",1871-03-15,1
"SPN",1873-02-11,1
"BOL",1872-11-27,0
"BOL",1873-05-06,0
"USA",1872-06-01,8
"USA",1877-03-02,8
"BOL",1873-05-07,1
"BOL",1876-05-03,1
"GUA",1873-03-29,-1
"GUA",1876-10-22,-1
"NOR",1873-07-18,-4
"NOR",1884-07-01,-4
"SPN",1873-02-12,-5
"SPN",1874-12-28,-5
"CHL",1874-06-30,3
"CHL",1888-06-29,3
"SPN",1874-12-29,0
"SPN",1876-06-29,0
"BOL",1876-05-04,-7
"BOL",1879-12-31,-7
"GUA",1876-10-23,-5
"GUA",1879-03-14,-5
"MEX",1876-11-20,0
"MEX",1880-11-29,0
"NEW",1876-11-01,4
"NEW",1877-06-29,4
"SPN",1876-06-30,-1
"SPN",1879-05-01,-1
"TUR",1876-12-23,-4
"TUR",1877-02-04,-4
"FRN",1877-12-13,7
"FRN",1898-06-29,7
"NEW",1877-06-30,9
"NEW",1893-06-29,9
"PAR",1877-04-12,-4
"PAR",1904-06-29,-4
"TUR",1877-02-05,-10
"TUR",1908-12-16,-10
"USA",1877-03-03,9
"USA",1967-06-20,9
"GMY",1878-06-30,-4
"GMY",1890-03-17,-4
"BUL",1879-04-28,-4
"BUL",1881-07-12,-4
"GUA",1879-03-15,0
"GUA",1879-12-10,0
"GUA",1879-12-11,2
"GUA",1896-06-29,2
"PER",1879-12-23,-3
"PER",1881-01-16,-3
"SPN",1879-05-02,4
"SPN",1890-06-29,4
"ARG",1880-09-21,1
"ARG",1912-06-29,1
"BOL",1880-01-01,1
"BOL",1936-05-15,1
"GRC",1880-06-30,10
"GRC",1915-11-03,10
"MEX",1880-11-30,-9
"MEX",1911-05-24,-9
"POR",1880-06-30,-5
"POR",1890-06-29,-5
"UKG",1880-04-28,7
"UKG",1901-07-14,7
"BUL",1881-07-13,-6
"BUL",1883-09-29,-6
"PER",1881-01-17,0
"PER",1883-10-19,0
"VEN",1881-04-27,-4
"VEN",1892-06-16,-4
"BUL",1883-09-30,-1
